,X,datum_id,time,DOD,Plant.ID,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,angle_direction,pitch,roll,flatten.slope,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_650,absorbance_605,absorbance_420,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,Phi2_MPF,PhiNPQ_MPF,NPQt_MPF,Phi2_noMPF,user_id,device_id,status,notes,latitude,longitude,Pot_Num.x,Spp,Trt.x,Block,Sensor,Trt3,TimePoint,Image,Pot_Num.y,Trt.y,Date,Tissue,Param,Blue,Green,Red,Total_Pix,ID_1,ID_2,ID_3,Red_Proportion,Green_Proportion,Blue_Proportion,RG_Proportion,Trt2
1,959,823239,5/9/18 9:31,8,120,7947,5925,132,216,24.219999,44.677734,783.30304,24.200001,45.243164,784.436707,22.23,0.9,E,90,8.3,SE,3.96,7.3,0.0289,26202.73,26229.13,0.385948618,0,0,0,1.057,1.693,1.181,NA,0.402,0.343,0.296,0.366,65.51,1,549,11855,129.16,3299.5,47271,124.34,7336.5,47279,108.07,48.94,1,77.92,1,218.71,1,-5.87,1,-10.56,1,-3.59,1,464.0778158,0.713,0.026,0.1,0.261,0.559,0.816,0.873,42.325,21109.323,6067.9,3883,2.479,1.06035,0.34812,0.33705,-11797591.67,-1,132,-1.989999,48.94052777,1,24.219999,44.677734,8.3,125,58,51,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257048,-105.5850046,120,BRVT,Drought,1,Y,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,0.648249791,DD
2,959,823239,5/9/18 9:31,8,120,7947,5925,132,216,24.219999,44.677734,783.30304,24.200001,45.243164,784.436707,22.23,0.9,E,90,8.3,SE,3.96,7.3,0.0289,26202.73,26229.13,0.385948618,0,0,0,1.057,1.693,1.181,NA,0.402,0.343,0.296,0.366,65.51,1,549,11855,129.16,3299.5,47271,124.34,7336.5,47279,108.07,48.94,1,77.92,1,218.71,1,-5.87,1,-10.56,1,-3.59,1,464.0778158,0.713,0.026,0.1,0.261,0.559,0.816,0.873,42.325,21109.323,6067.9,3883,2.479,1.06035,0.34812,0.33705,-11797591.67,-1,132,-1.989999,48.94052777,1,24.219999,44.677734,8.3,125,58,51,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257048,-105.5850046,120,BRVT,Drought,1,Y,Drought,./TP2_05092018,113_97_120_Turnip_DD_F0.bmp,Multiple,DD,9-May,Leaf,Fo,60068,58,0,60126,113,97,120,0,0.000964641,0.999035359,0.000964641,DD
3,959,823239,5/9/18 9:31,8,120,7947,5925,132,216,24.219999,44.677734,783.30304,24.200001,45.243164,784.436707,22.23,0.9,E,90,8.3,SE,3.96,7.3,0.0289,26202.73,26229.13,0.385948618,0,0,0,1.057,1.693,1.181,NA,0.402,0.343,0.296,0.366,65.51,1,549,11855,129.16,3299.5,47271,124.34,7336.5,47279,108.07,48.94,1,77.92,1,218.71,1,-5.87,1,-10.56,1,-3.59,1,464.0778158,0.713,0.026,0.1,0.261,0.559,0.816,0.873,42.325,21109.323,6067.9,3883,2.479,1.06035,0.34812,0.33705,-11797591.67,-1,132,-1.989999,48.94052777,1,24.219999,44.677734,8.3,125,58,51,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257048,-105.5850046,120,BRVT,Drought,1,Y,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fs.bmp,Multiple,DD,9-May,Leaf,Fs,73228,40608,10048,123884,113,97,120,0.081108133,0.327790514,0.591101353,0.408898647,DD
4,959,823239,5/9/18 9:31,8,120,7947,5925,132,216,24.219999,44.677734,783.30304,24.200001,45.243164,784.436707,22.23,0.9,E,90,8.3,SE,3.96,7.3,0.0289,26202.73,26229.13,0.385948618,0,0,0,1.057,1.693,1.181,NA,0.402,0.343,0.296,0.366,65.51,1,549,11855,129.16,3299.5,47271,124.34,7336.5,47279,108.07,48.94,1,77.92,1,218.71,1,-5.87,1,-10.56,1,-3.59,1,464.0778158,0.713,0.026,0.1,0.261,0.559,0.816,0.873,42.325,21109.323,6067.9,3883,2.479,1.06035,0.34812,0.33705,-11797591.67,-1,132,-1.989999,48.94052777,1,24.219999,44.677734,8.3,125,58,51,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257048,-105.5850046,120,BRVT,Drought,1,Y,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fv.bmp,Multiple,DD,9-May,Leaf,Fv,19190,82486,67276,168952,113,97,120,0.398195937,0.488221507,0.113582556,0.886417444,DD
5,960,823238,5/9/18 9:32,8,3,8436,8188,126,209,24.32,43.694336,783.272217,24.299999,44.300781,784.38092,22.47,0.61,E,90,23.44,SE,20.47,11.68,0.0762,27864.74,27893.92,0.634174228,8.00E-04,9.49E-05,8.1473,0.927,1.304,0.961,NA,0.417,0.352,0.301,0.392,51,1,1345.5,11455,88.74,8350,45664,82.52,18601.5,45675,66.17,33.02,1,54.45,1,149.62,1,-6.49,1,-11.6,1,-2.43,1,497.2911068,0.614,0.136,0.547,0.25,0.504,0.759,0.809,34.812,19129.359,7384.4,4605,1.591,1.03671,0.83898,0.824,-4611988.146,-1,126,-1.85,33.02087436,1,24.32,43.694336,23.44,122,56,49,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31256957,-105.5849917,3,POTR,Drought,12,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',3704,23832,19946,47482,1,3,26,0.420074976,0.501916516,0.078008508,0.921991492,DD
6,960,823238,5/9/18 9:32,8,3,8436,8188,126,209,24.32,43.694336,783.272217,24.299999,44.300781,784.38092,22.47,0.61,E,90,23.44,SE,20.47,11.68,0.0762,27864.74,27893.92,0.634174228,8.00E-04,9.49E-05,8.1473,0.927,1.304,0.961,NA,0.417,0.352,0.301,0.392,51,1,1345.5,11455,88.74,8350,45664,82.52,18601.5,45675,66.17,33.02,1,54.45,1,149.62,1,-6.49,1,-11.6,1,-2.43,1,497.2911068,0.614,0.136,0.547,0.25,0.504,0.759,0.809,34.812,19129.359,7384.4,4605,1.591,1.03671,0.83898,0.824,-4611988.146,-1,126,-1.85,33.02087436,1,24.32,43.694336,23.44,122,56,49,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31256957,-105.5849917,3,POTR,Drought,12,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_F0.bmp,Multiple,DD,9-May,Leaf,Fo,23878,14,0,23892,1,3,26,0,0.00058597,0.99941403,0.00058597,DD
7,960,823238,5/9/18 9:32,8,3,8436,8188,126,209,24.32,43.694336,783.272217,24.299999,44.300781,784.38092,22.47,0.61,E,90,23.44,SE,20.47,11.68,0.0762,27864.74,27893.92,0.634174228,8.00E-04,9.49E-05,8.1473,0.927,1.304,0.961,NA,0.417,0.352,0.301,0.392,51,1,1345.5,11455,88.74,8350,45664,82.52,18601.5,45675,66.17,33.02,1,54.45,1,149.62,1,-6.49,1,-11.6,1,-2.43,1,497.2911068,0.614,0.136,0.547,0.25,0.504,0.759,0.809,34.812,19129.359,7384.4,4605,1.591,1.03671,0.83898,0.824,-4611988.146,-1,126,-1.85,33.02087436,1,24.32,43.694336,23.44,122,56,49,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31256957,-105.5849917,3,POTR,Drought,12,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fs.bmp,Multiple,DD,9-May,Leaf,Fs,19892,18994,1396,40282,1,3,26,0.034655677,0.471525744,0.493818579,0.506181421,DD
8,960,823238,5/9/18 9:32,8,3,8436,8188,126,209,24.32,43.694336,783.272217,24.299999,44.300781,784.38092,22.47,0.61,E,90,23.44,SE,20.47,11.68,0.0762,27864.74,27893.92,0.634174228,8.00E-04,9.49E-05,8.1473,0.927,1.304,0.961,NA,0.417,0.352,0.301,0.392,51,1,1345.5,11455,88.74,8350,45664,82.52,18601.5,45675,66.17,33.02,1,54.45,1,149.62,1,-6.49,1,-11.6,1,-2.43,1,497.2911068,0.614,0.136,0.547,0.25,0.504,0.759,0.809,34.812,19129.359,7384.4,4605,1.591,1.03671,0.83898,0.824,-4611988.146,-1,126,-1.85,33.02087436,1,24.32,43.694336,23.44,122,56,49,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31256957,-105.5849917,3,POTR,Drought,12,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fv.bmp,Multiple,DD,9-May,Leaf,Fv,3380,24282,23446,51108,1,3,26,0.458754011,0.475111529,0.06613446,0.93386554,DD
9,961,823237,5/9/18 9:34,8,118,7864,3550,104,172,24.530001,44.623047,783.302917,24.52,45.350586,784.432007,22.29,1.49,E,90,0.45,NW,-0.42,-0.18,0.0116,24134.52,24156.25,0.217001158,4.00E-04,3.02E-05,13.1723,1.273,NA,1.431,NA,0.433,0.381,0.374,0.408,84.03,1,276.5,11036,155.84,1584.5,43967,153.05,3511,43969.5,136.93,59.45,1,99.8,1,245.26,1,-5.2,1,-5.92,1,-2.52,1,458.440386,0.72,0.04,0.169,0.24,0.615,0.807,0.892,33.678,20215.862,5668.2,3906,2.567,1.05167,0.48735,0.47263,-9780124.64,-0.978,104,-2.240001,59.44860181,1,24.530001,44.623047,0.45,100,47,41,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31256781,-105.5849871,118,BRVT,Water,8,N,Water,./TP2_05092018,111_94_116_Turnip_WW_Fm'.bmp,Multiple,WW,9-May,Leaf,Fm',12858,68402,60016,141276,111,94,116,0.42481384,0.484172825,0.091013336,0.908986664,WW
10,961,823237,5/9/18 9:34,8,118,7864,3550,104,172,24.530001,44.623047,783.302917,24.52,45.350586,784.432007,22.29,1.49,E,90,0.45,NW,-0.42,-0.18,0.0116,24134.52,24156.25,0.217001158,4.00E-04,3.02E-05,13.1723,1.273,NA,1.431,NA,0.433,0.381,0.374,0.408,84.03,1,276.5,11036,155.84,1584.5,43967,153.05,3511,43969.5,136.93,59.45,1,99.8,1,245.26,1,-5.2,1,-5.92,1,-2.52,1,458.440386,0.72,0.04,0.169,0.24,0.615,0.807,0.892,33.678,20215.862,5668.2,3906,2.567,1.05167,0.48735,0.47263,-9780124.64,-0.978,104,-2.240001,59.44860181,1,24.530001,44.623047,0.45,100,47,41,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31256781,-105.5849871,118,BRVT,Water,8,N,Water,./TP2_05092018,111_94_116_Turnip_WW_F0.bmp,Multiple,WW,9-May,Leaf,Fo,49062,606,0,49668,111,94,116,0,0.012201015,0.987798985,0.012201015,WW
