,X,datum_id,time,DOD,RG_Proportion,Plant.ID,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,angle_direction,pitch,roll,flatten.slope,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_650,absorbance_605,absorbance_420,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,Phi2_MPF,PhiNPQ_MPF,NPQt_MPF,Phi2_noMPF,user_id,device_id,status,notes,latitude,longitude,Pot_Num.x,Spp,Trt.x,Block,Sensor,Trt3,TimePoint,Image,Pot_Num.y,Trt.y,Date,Tissue,Param,Blue,Green,Red,Total_Pix,ID_1,ID_2,ID_3,Red_Proportion,Green_Proportion,Blue_Proportion,Trt2
1,959,823239,5/9/18 9:31,8,0.648249791,120,7947,5925,132,216,24.219999,44.677734,783.30304,24.200001,45.243164,784.436707,22.23,0.9,E,90,8.3,SE,3.96,7.3,0.0289,26202.73,26229.13,0.385948618,0,0,0,1.057,1.693,1.181,NA,0.402,0.343,0.296,0.366,65.51,1,549,11855,129.16,3299.5,47271,124.34,7336.5,47279,108.07,48.94,1,77.92,1,218.71,1,-5.87,1,-10.56,1,-3.59,1,464.0778158,0.713,0.026,0.1,0.261,0.559,0.816,0.873,42.325,21109.323,6067.9,3883,2.479,1.06035,0.34812,0.33705,-11797591.67,-1,132,-1.989999,48.94052777,1,24.219999,44.677734,8.3,125,58,51,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257048,-105.5850046,120,BRVT,Drought,1,Y,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
5,960,823238,5/9/18 9:32,8,0.921991492,3,8436,8188,126,209,24.32,43.694336,783.272217,24.299999,44.300781,784.38092,22.47,0.61,E,90,23.44,SE,20.47,11.68,0.0762,27864.74,27893.92,0.634174228,8.00E-04,9.49E-05,8.1473,0.927,1.304,0.961,NA,0.417,0.352,0.301,0.392,51,1,1345.5,11455,88.74,8350,45664,82.52,18601.5,45675,66.17,33.02,1,54.45,1,149.62,1,-6.49,1,-11.6,1,-2.43,1,497.2911068,0.614,0.136,0.547,0.25,0.504,0.759,0.809,34.812,19129.359,7384.4,4605,1.591,1.03671,0.83898,0.824,-4611988.146,-1,126,-1.85,33.02087436,1,24.32,43.694336,23.44,122,56,49,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31256957,-105.5849917,3,POTR,Drought,12,N,Drought,./TP2_05092018,1_3_26_Aspen_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',3704,23832,19946,47482,1,3,26,0.420074976,0.501916516,0.078008508,DD
13,941,823257,5/9/18 9:35,8,0.648249791,120,10730,615,112,201,24.49,41.523438,783.848877,24.370001,41.476562,783.757446,22.23,4.32,E,90,0.76,NE,-0.64,0.41,0.0313,11652.04,11661.72,0.681658223,5.00E-04,4.74E-05,10.7296,NA,NA,NA,NA,0.808,0.771,0.778,0.76,106,1,87.5,5646,167.27,236.5,20391,199.95,472,20396,189.5,71.38,1,137.45,1,192.69,1,-3.73,1,-3.03,1,-4.76,1,421.9609429,0.6,0.147,0.584,0.252,0.488,0.755,NA,30.26,10574.095,4225.4,2591,1.503,0.99027,1.04779,1.05279,1178816.837,0.422,112,-2.26,71.38400703,1,24.49,41.523438,0.76,116,55,48,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31258104,-105.5849417,120,BRVT,Drought,1,Y,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
21,942,823256,5/9/18 9:36,8,0.789241236,136,13791,1314,149,267,24.540001,43.345703,783.849243,24.43,43.568359,783.781433,22.95,0.17,E,90,3.21,NW,-2.27,-2.27,0.0269,19326.3,19352.88,0.515210051,8.00E-04,4.39E-05,17.1772,NA,NA,NA,NA,0.499,0.458,0.512,0.484,110.65,1,133,11494,179.96,535.5,41812,195.64,1159.5,41814.5,181.64,76.96,1,137.93,1,216.92,1,-4.12,1,1.24,1,-1.5,1,595.9295415,0.462,0.139,0.347,0.399,0.237,0.784,NA,30.978,19983.793,10751.1,4323,0.859,0.98704,1.05206,1.0553,1831804.696,0.39,149,-1.590001,76.95957821,1,24.540001,43.345703,3.21,153,73,64,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31258146,-105.584942,136,BRR5,Drought,1,N,Drought,./TP2_05092018,124_121_136_R500_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',15366,35524,22018,72908,124,121,136,0.301997037,0.487244198,0.210758764,DD
29,976,823201,5/9/18 9:38,8,0.789241236,135,12393,2780,148,266,24.469999,43.785156,783.85376,24.35,43.916992,783.804993,22.91,0.28,E,90,3.86,E,0.17,3.85,-0.0148,22449.13,22511.76,-0.279504549,0.0011,3.74E-05,29.8196,1.317,NA,1.544,NA,0.425,0.389,0.345,0.389,89.17,1,193,13635,171.21,963,49740,177.69,2139.5,49749.5,162.58,73.12,1,111.91,1,226.13,1,-3.63,1,-7.98,1,-3.64,1,516.4757353,0.546,0.181,0.666,0.272,0.411,0.745,0.733,36.371,17581.835,7980.2,4475,1.203,1.01527,0.94827,0.94242,-888283.807,-0.317,148,-1.559999,73.11511424,1,24.469999,43.785156,3.86,152,73,64,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31259155,-105.5849451,135,BRR5,Drought,1,N,Drought,./TP2_05092018,124_121_136_R500_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',15366,35524,22018,72908,124,121,136,0.301997037,0.487244198,0.210758764,DD
33,964,823234,5/9/18 9:40,8,0.648249791,97,7348,11376,237,403,23.16,44.419922,783.312561,23.17,44.977539,784.485474,21.47,1.18,E,90,5.3,W,-0.18,-5.3,-0.0053,29062.57,29125.97,-0.048926975,7.00E-04,9.60E-05,7.7802,0.789,1.135,0.833,1.658,0.398,0.324,0.233,0.35,39.02,1,1987,11949.5,73.64,12369.5,47660.5,67.31,27535.5,47663,50.98,27.07,1,43.47,1,125.93,1,-7.42,1,-16.51,1,-4.86,1,423.3932323,0.609,0.108,0.381,0.283,0.44,0.779,0.781,64.928,14813.749,5795.3,3268,1.556,1.07061,0.69056,0.6705,-6241971.458,-1,237,-1.69,27.07365104,1,23.16,44.419922,5.3,238,108,95,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31267018,-105.5849336,97,BRVT,Drought,18,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
37,965,823233,5/9/18 9:41,8,0.789241236,121,8256,3925,208,349,22.34,46.893555,783.284973,22.34,47.696289,784.492371,21.04,0.99,E,90,5.99,SE,3.21,5.06,0.0076,24511.72,24545.5,0.137623039,5.00E-04,6.81E-05,7.5467,1.232,NA,1.393,NA,0.421,0.361,0.367,0.395,81.14,1,300,11341.5,153.48,1728,45140,150.43,3821,45154.5,134.41,58.52,1,97.19,1,257.49,1,-6.03,1,-5.43,1,-2.65,1,485.0653555,0.67,0.039,0.136,0.291,0.472,0.811,0.826,62.68,21764.149,7189.6,4109,2.027,1.08881,0.37495,0.36052,-13911410,-1,208,-1.3,58.51910201,1,22.34,46.893555,5.99,205,93,83,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31268532,-105.5849359,121,BRR5,Drought,18,N,Drought,./TP2_05092018,124_121_136_R500_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',15366,35524,22018,72908,124,121,136,0.301997037,0.487244198,0.210758764,DD
44,967,823231,5/9/18 9:44,8,0.648249791,113,7943,5504,192,321,22.389999,46.780273,783.338623,22.379999,47.485352,784.545227,20.34,1.6,E,90,5.78,W,-1.61,-5.55,0.0237,26195.33,26226.07,0.355995582,5.00E-04,7.15E-05,7.3556,1.092,1.666,1.208,NA,0.453,0.391,0.349,0.412,63.94,1,585,10537.5,121.28,3525,41922.5,116.26,7845,41936,99.95,45.84,1,75.48,1,195.54,1,-6.15,1,-10.42,1,-4.13,1,463.8061324,0.664,0.036,0.121,0.3,0.453,0.813,0.816,57.328,20098.016,6762.5,3755,1.972,1.0762,0.39098,0.37844,-11024226.61,-1,192,-2.049999,45.83694368,1,22.389999,46.780273,5.78,188,86,76,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31268262,-105.5849338,113,BRVT,Drought,18,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
48,943,823255,5/9/18 9:44,8,0.789241236,128,13738,1615,184,333,24.530001,43.545898,783.887512,24.42,43.746094,783.817505,22.91,0.52,E,90,1.25,NE,-0.88,0.88,0.016,22904.39,22928.62,0.267190136,4.00E-04,3.72E-05,11.1123,NA,NA,1.75,NA,0.565,0.506,0.542,0.531,97.64,1,262.5,9889,143.9,1451,35945,145.78,3240.5,35956,130.45,61.12,1,118.55,1,151.98,1,-5.89,1,-2.28,1,-3.37,1,592.9173443,0.39,0.132,0.277,0.477,0.167,0.793,0.492,32.307,18514.231,11290.4,3840,0.64,1.20509,0.6232,0.60544,-8369459.489,-0.993,184,-1.620001,61.11599297,1,24.530001,43.545898,1.25,191,92,79,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.3125787,-105.5849108,128,BRR5,Drought,12,Y,Drought,./TP2_05092018,124_121_136_R500_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',15366,35524,22018,72908,124,121,136,0.301997037,0.487244198,0.210758764,DD
52,968,823230,5/9/18 9:45,8,0.648249791,98,8000,7011,380,649,22.059999,47.591797,783.308105,22.059999,48.300781,784.595764,21.66,1.43,E,90,7.71,NE,-5.68,5.23,1.3562,26640.62,26693.39,0.908482644,NA,NA,NA,0.992,1.543,1.096,NA,0.415,0.354,0.297,0.384,57.67,1,776.5,11505,112.8,4712,45907,107.59,10474.5,45917.5,91.34,42.5,1,68.08,1,190.56,1,-6.11,1,-11.8,1,-3.11,1,467.6776203,0.584,0.042,0.113,0.374,0.32,0.814,0.717,99.782,18103.278,7539.7,3362,1.401,1.0892,0.42361,0.41252,-8389925.365,-0.999,380,-0.399999,42.49704608,1,22.059999,47.591797,7.71,384,173,152,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31267452,-105.5849336,98,BRVT,Drought,7,N,Drought,./TP2_05092018,113_97_120_Turnip_DD_Fm'.bmp,Multiple,DD,9-May,Leaf,Fm',58062,78116,28888,165066,113,97,120,0.175008784,0.473241007,0.351750209,DD
