,X,datum_id,time,DOD,Plant.ID,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,angle_direction,pitch,roll,flatten.slope,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_650,absorbance_605,absorbance_420,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,Phi2_MPF,PhiNPQ_MPF,NPQt_MPF,Phi2_noMPF,user_id,device_id,status,notes,latitude,longitude,Pot_Num.x,Spp,Symbol,Trt.x,Block,Sensor,Trt3,TimePoint,Image,Pot_Num.y,Trt.y,Date,Tissue,Param,Blue,Green,Red,Total_Pix,ID_1,ID_2,ID_3,Red_Proportion,Green_Proportion,Blue_Proportion,RG_Proportion,Trt2
1458,6,878315,6/22/18 10:03,52,70,8701,8324,188,306,26.530001,43.207031,781.241272,26.5,44.016602,782.309448,23.77,1.8,E,90,4.79,NE,-3.93,2.74,0.0321,30285.83,30286.04,0.34437107,0,0,0,0.936,0.924,0.944,0.915,0.654,0.604,0.413,0.557,28.24,1,3226,6639.5,27.07,20277,26314,20.05,45163.5,26317.5,3.7,8.73,1,29.04,1,26.13,1,-4.98,1,-24.1,1,-9.66,1,515.2901295,0.417,0.127,0.279,0.456,0.187,0.792,NA,35.242,11345.099,6619,2356,0.714,0.99527,1.01865,1.01955,476322.247,0.291,188,-2.760001,8.731784167,1,26.530001,43.207031,4.79,174,83,73,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31268903,-105.5848927,70,ARTR,23,Water,19,N,Water,./TP9_06222018,70_72_79_Sage_WW_Fm'.bmp,Multiple,WW,22-Jun,Leaf,Fm',7022,4990,1346,13358,70,72,79,0.100763587,0.373558916,0.525677497,0.474322503,WW
1488,9,878312,6/22/18 10:07,52,88,7766,12533,674,1161,27.809999,45.970703,781.289856,27.780001,46.858398,782.280334,25.23,2.16,E,90,19.32,N,-19.31,0.7,0.0321,28078.52,28077.59,0.313838467,0,0,0,0.764,0.844,0.858,0.806,0.559,0.491,0.391,0.515,20.43,1,3878,8250,28.51,24379,32826.5,21.65,54341,32835,5.27,9.3,1,29.9,1,24.71,1,-6.83,1,-16.79,1,-4.42,1,451.7841437,0.371,0.142,0.293,0.487,0.156,0.791,0.469,112.509,9649.802,6070.2,2021,0.59,1.16834,0.6887,0.6732,-3287570.664,-0.985,674,-2.579999,9.298936589,1,27.809999,45.970703,19.32,695,304,267,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31267747,-105.5849055,88,ARTR,23,Water,8,Y,Water,./TP9_06222018,70_72_79_Sage_WW_Fm'.bmp,Multiple,WW,22-Jun,Leaf,Fm',7022,4990,1346,13358,70,72,79,0.100763587,0.373558916,0.525677497,0.474322503,WW
1478,8,878313,6/22/18 10:06,52,68,8491,7021,806,1378,27.389999,44.994141,781.235168,27.360001,45.943359,782.256653,24.99,2.75,E,90,4.19,NW,-3.19,-2.72,9.00E-04,30160.72,30162.5,0.010337488,0,0,0,1.012,1.182,1.017,1.213,0.757,0.707,0.645,0.685,25.47,1,1784,5229.5,42.43,11142,20697,35.62,24803.5,20707,19.31,14.78,1,25.93,1,45.55,1,-5.02,1,-11.21,1,-7.25,1,501.026753,0.308,0.156,0.29,0.537,0.118,0.791,0.389,111.642,10808.126,7481.3,2259,0.445,1.18532,0.72839,0.715,-3040337.898,-0.98,806,-2.399999,14.78141,1,27.389999,44.994141,4.19,817,364,321,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.3126992,-105.5848971,68,ARTR,23,Water,16,N,Water,./TP9_06222018,70_72_79_Sage_WW_Fm'.bmp,Multiple,WW,22-Jun,Leaf,Fm',7022,4990,1346,13358,70,72,79,0.100763587,0.373558916,0.525677497,0.474322503,WW
1438,4,878317,6/22/18 10:01,52,72,9289,3664,130,216,26.18,43.633789,781.272949,26.139999,44.253906,782.374451,23.63,2.6,E,90,14.65,SE,13.31,6.18,0.002,30016.43,30013.89,0.023595121,0,0,0,1.286,1.171,1.244,1.285,0.704,0.647,0.63,0.65,58.17,1,1827.5,5907.5,46.68,11422,23371.5,39.82,25426.5,23374,23.5,16.46,1,53.97,1,58.09,1,-5.77,1,-7.48,1,-5.42,1,555.2275837,0.613,0.068,0.213,0.319,0.394,0.801,0.766,35.884,15142.6,5854.1,3014,1.587,1.02101,0.81671,0.81008,-1623074.75,-0.511,130,-2.55,16.45529736,1,26.18,43.633789,14.65,126,58,51,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31266997,-105.5848727,72,ARTR,23,Water,10,N,Water,./TP9_06222018,70_72_79_Sage_WW_Fm'.bmp,Multiple,WW,22-Jun,Leaf,Fm',7022,4990,1346,13358,70,72,79,0.100763587,0.373558916,0.525677497,0.474322503,WW
1468,7,878314,6/22/18 10:04,52,79,9057,3024,543,908,26.879999,43.657227,781.227417,26.85,44.574219,782.268982,23.43,2.01,E,90,5.05,NE,-3.45,3.7,6.00E-04,28823.82,28847.16,0.007468643,4.00E-04,3.13E-05,14.1192,1.368,1.439,1.392,1.482,0.783,0.69,0.583,0.663,58.58,1,987,4934,65.61,6084,19471,59.25,13527.5,19471,42.97,23.91,1,60.91,1,69.94,1,-9.24,1,-19.95,1,-11.95,1,539.4699487,0.416,0.134,0.299,0.45,0.19,0.79,0.527,101.658,10715.559,6257.5,2253,0.712,1.15062,0.67196,0.65528,-4016840.315,-0.992,543,-3.449999,23.91098858,1,26.879999,43.657227,5.05,524,246,213,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31270352,-105.5848991,79,ARTR,23,Water,4,N,Water,./TP9_06222018,70_72_79_Sage_WW_Fm'.bmp,Multiple,WW,22-Jun,Leaf,Fm',7022,4990,1346,13358,70,72,79,0.100763587,0.373558916,0.525677497,0.474322503,WW
1448,5,878316,6/22/18 10:02,52,80,9587,590,151,245,26.26,43.499023,781.260925,26.24,44.349609,782.377686,24.09,2.64,E,90,7.72,N,-7.44,-2.09,-0.028,17383.34,17393.48,-0.801982311,2.00E-04,3.15E-06,58.4083,NA,NA,NA,NA,1.07,0.998,0.839,0.921,89.62,2,167.5,2546.5,113.92,975,9937.5,109.55,2148,9937.5,93.68,43.73,2,100.87,2,99.2,2,-1.57,2,-12.14,2,-12.39,2,575.4679941,0.499,0.093,0.228,0.408,0.25,0.799,0.624,33.878,15646.479,7845.5,3146,0.994,1.02208,0.87761,0.87287,-1066260.559,-0.448,151,-2.17,43.73242266,2,26.26,43.499023,7.72,140,66,59,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31266745,-105.5848764,80,ARTR,23,Water,15,N,Water,./TP9_06222018,70_72_79_Sage_WW_Fm'.bmp,Multiple,WW,22-Jun,Leaf,Fm',7022,4990,1346,13358,70,72,79,0.100763587,0.373558916,0.525677497,0.474322503,WW
710,573,833759,5/16/18 10:21,15,33,5719,34678,111,186,25.93,43.225586,783.215332,25.9,43.511719,784.384033,24.88,1.63,E,90,1.1,NW,-0.65,-0.89,-2.4994,25247.32,25681.15,-0.905872735,NA,NA,NA,0.342,0.309,0.329,0.333,0.233,0.222,0.156,0.263,10.95,1,13295.5,17496,7.65,65535,65535,8.73,64556,65535,27.81,1.08,1,9.63,1,10.03,1,-1.08,1,-7.63,1,2.98,1,312.7501832,0.642,0.068,0.236,0.29,0.454,0.798,0.805,32.069,10547.887,3775.9,2132,1.793,1.06009,0.60917,0.59348,-4259383.186,-0.989,111,-1.05,1.083103584,1,25.93,43.225586,1.1,109,51,44,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31259182,-105.584982,33,PIPO,24,Water,3,N,Water,./TP4_05162018,35_59_52_PineWW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',4012,4138,2216,10366,35,59,52,0.213775806,0.399189658,0.387034536,0.612965464,WW
644,579,833753,5/16/18 10:00,15,41,11365,19439,178,324,26.190001,46.111328,783.925537,26.08,46.28418,783.754944,23.63,1.42,E,90,7.72,SW,6,-4.88,0.0514,30484.54,31468.71,0.086242432,NA,NA,NA,0.348,0.41,0.538,0.42,0.316,0.306,0.259,0.318,3.24,1,10298,17548.5,9.45,65535,64383,5.62,63387.5,64082.5,26.41,2.04,1,22.22,1,10.44,1,-0.9,1,-5.6,1,0.22,1,458.0504758,0.601,0,0,0.416,0.296,0.836,0.719,48.133,14735.939,5880.9,2423,1.506,1.07132,-0.52267,-0.51237,-6049106.917,-1,178,-2.560001,2.043057996,1,26.190001,46.111328,7.72,188,88,78,NA,-0.017,-0.04,NA,1865,01:12:38:85,submitted,,41.31257022,-105.5849618,41,PIPO,24,Water,19,Y,Water,./TP4_05162018,35_59_52_PineWW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',4012,4138,2216,10366,35,59,52,0.213775806,0.399189658,0.387034536,0.612965464,WW
665,602,833730,5/16/18 10:04,15,34,6707,18854,995,1710,24.860001,48.141602,783.242371,24.85,48.894531,784.383667,22.63,1.3,E,90,1.8,NW,-1.39,-1.15,0.3924,28731.27,28637.56,0.921883225,NA,NA,NA,0.585,0.568,0.593,0.561,0.438,0.372,0.141,0.321,14.7,1,7331,10902,12.96,46236.5,43491,6.07,65535,43503,9.36,3.17,1,15.47,1,12.32,1,-6.62,1,-29.69,1,-11.71,1,379.8559736,0.368,0.114,0.221,0.518,0.146,0.8,0.46,164.689,11332.882,7164.5,2268,0.582,1.31818,0.51662,0.49847,-6319946.254,-0.999,995,-2.230001,3.174478141,1,24.860001,48.141602,1.8,1016,453,401,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31262535,-105.5849365,34,PIPO,24,Water,8,N,Water,./TP4_05162018,35_59_52_PineWW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',4012,4138,2216,10366,35,59,52,0.213775806,0.399189658,0.387034536,0.612965464,WW
647,599,833733,5/16/18 10:00,15,52,6939,19661,129,213,25.57,42.171875,783.283447,25.57,42.731445,784.436584,23.05,1.4,E,90,3.25,NW,-1.82,-2.7,-0.1884,28444.19,28519.18,-0.72275964,NA,NA,NA,0.572,0.54,0.569,0.564,0.336,0.294,0.214,0.323,23.67,1,7823.5,13811,20.41,49360.5,55398,13.74,65535,55409.5,19.87,6.11,1,23.39,1,22.85,1,-4.13,1,-12.11,1,-1.27,1,395.6136086,0.628,0.065,0.21,0.308,0.418,0.801,0.783,36.43,15168.685,5649.4,3013,1.685,1.06393,0.587,0.57227,-6143124.755,-0.994,129,-2.52,6.108704214,1,25.57,42.171875,3.25,123,58,51,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31262664,-105.584946,52,PIPO,24,Water,7,N,Water,./TP4_05162018,35_59_52_PineWW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',4012,4138,2216,10366,35,59,52,0.213775806,0.399189658,0.387034536,0.612965464,WW
626,575,833757,5/16/18 9:54,15,51,11299,13912,98,171,25.74,45.797852,783.90625,25.620001,45.973633,783.833435,23.53,1.2,E,90,7.88,SW,4.14,-6.71,-1.7071,32574.65,33811.01,-0.931114808,NA,NA,NA,0.625,0.686,0.799,0.695,0.412,0.385,0.316,0.391,21.34,1,5459.5,14061.5,27.39,35666,51441,22.29,65535,51432.5,15.41,9.93,1,38.78,1,28.3,1,-2.72,1,-9.62,1,-2.03,1,454.2994377,0.615,0.064,0.201,0.321,0.393,0.802,0.766,27.119,13476.652,5189.4,2662,1.597,1.03907,0.69831,0.68799,-3138179.192,-0.899,98,-2.21,9.925307557,1,25.74,45.797852,7.88,96,48,41,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31255864,-105.5849905,51,PIPO,24,Water,2,N,Water,./TP4_05162018,35_59_52_PineWW_Fm'.bmp,Multiple,WW,16-May,Leaf,Fm',4012,4138,2216,10366,35,59,52,0.213775806,0.399189658,0.387034536,0.612965464,WW
