Spp,DOD,Pot_Num,LWP,SM_Echo_corr,RG_Proportion,RWC,Symbol,Pot_num,DoD,Leaf_Water,LW_FBM,LogRG,LogWP,RWC,Color
ARTR,15,62,-1.4,18.3,0.623980186,88.032823,23,62,15,0.1169,0.684025746,-0.204829201,-0.932185489,0.88032823,11
ARTR,15,90,-2.45,7.6,0.123980186,20.40836735,23,90,15,0.1178,0.662915025,-0.204829201,-0.92885471,20.40836735,11
ARTR,45,76,-9,3.1,0.139784946,24.41571429,23,76,45,0.0164,0.232954545,-0.854539597,-1.785156152,24.41571429,11
ARTR,28,73,-1.15,10.9,0.356888096,31.38163265,23,73,28,0.1319,0.643728648,-0.447467938,-0.879755204,31.38163265,11
ARTR,15,85,-1.82,8.7,0.623980186,71.38163265,23,85,15,0.2276,0.613311776,-0.204829201,-0.642827742,31.38163265,11
ARTR,28,89,-10,6.4,0.356888096,46.41469388,23,89,28,0.0331,0.265437049,-0.447467938,-1.480172006,46.41469388,11
ARTR,45,90,-9.5,6.5,0.359784946,46.41469388,23,90,45,0.0032,0.122605364,-0.854539597,-2.494850022,46.41469388,11
ARTR,45,61,-9,4.7,0.139784946,47.50367347,23,61,45,0.0168,0.410757946,-0.854539597,-1.774690718,47.50367347,11
ARTR,28,69,-1.82,11.3,0.356888096,58.05877551,23,69,28,0.1364,0.611659193,-0.447467938,-0.86518563,58.05877551,11
ARTR,28,81,-7,6.4,0.496888096,83.90204082,23,81,28,0.0213,0.210474308,-0.447467938,-1.671620397,83.90204082,11
ARTR,35,87,-6.2,8.2,0.458359688,85.95061224,24,87,35,0.0988,0.385786802,-0.338793585,-1.005243055,85.95061224,4
ARTR,45,83,-7,3.9,0.439784946,85.97469388,24,83,45,0.0164,0.134316134,-0.854539597,-1.785156152,85.97469388,4
PIPO,35,36,-2.45,3.8,0.072992701,4.327942088,24,36,35,0.0018,0.056603774,-1.136720566,-2.744727495,4.327942088,4
PIPO,35,31,-5.8,6.7,0.072992701,4.953452117,24,31,35,0.0552,0.441953563,-1.136720566,-1.258060922,4.953452117,4
PIPO,45,44,-7,4.8,0.056100982,5.545562977,24,44,45,0.0045,0.101351351,-1.251029537,-2.346787486,5.545562977,4
PIPO,35,32,-6.1,6.1,0.072992701,5.958104445,24,32,35,0.0148,0.230171073,-1.136720566,-1.829738285,5.958104445,4
PIPO,35,58,-3.3,4.8,0.072992701,8.345566492,24,58,35,0.0049,0.076923077,-1.136720566,-2.30980392,8.345566492,4
PIPO,45,53,-6.2,3.5,0.056100982,8.411122438,24,53,45,0.0074,0.108345534,-1.251029537,-2.13076828,8.411122438,4
PIPO,45,45,-3.6,4.6,0.056100982,10.0683727,24,45,45,0.0104,0.044596913,-1.251029537,-1.982966661,10.0683727,4
PIPO,15,53,-0.95,11.4,0.480851064,68.04469388,24,53,15,0.1242,0.686946903,-0.317989419,-0.905878404,68.04469388,4
